realvd,sortby,direct,day,time,speed,accu,jam_percent,congest
VTZY920,0.0,1,4,0,38.251442,2.405,0.0,0.0
VTZY920,0.0,1,4,1,38.657047,1.38,0.0,0.0
VTZY920,0.0,1,4,2,38.71964,0.65,0.0,0.0
VTZY920,0.0,1,4,3,36.774548,0.47,0.0,0.0
VTZY920,0.0,1,4,4,38.172173,0.625,0.0,0.0
VTZY920,0.0,1,4,5,34.717144,0.355,0.0,0.0
VTZY920,0.0,1,4,6,38.70903,0.6,0.0,0.0
VTZY920,0.0,1,4,7,35.480774,3.005,0.0,0.0
VTZY920,0.0,1,4,8,35.205597,6.36,0.9024,0.0
VTZY920,0.0,1,4,9,36.073368,8.014999,0.878,0.0
VTZY920,0.0,1,4,10,34.53867,7.075,0.9268,0.0
VTZY920,0.0,1,4,11,32.52755,9.674999,0.9512,0.3004
VTZY920,0.0,1,4,12,31.415276,8.65,0.9512,0.3357
VTZY920,0.0,1,4,13,31.670889,9.215,1.0,0.3439
VTZY920,0.0,1,4,14,31.60006,8.42,0.9268,0.31
VTZY920,0.0,1,4,15,33.331158,8.585,1.0,0.1842
VTZY920,0.0,1,4,16,33.16527,7.075,0.9756,0.1222
VTZY920,0.0,1,4,17,31.696177,8.690001,0.9756,0.3159
VTZY920,0.0,1,4,18,30.039858,11.965,1.0,0.6064
VTZY920,0.0,1,4,19,32.525402,9.995,0.9756,0.3165
VTZY920,0.0,1,4,20,34.288322,10.21,1.0,0.0
VTZY920,0.0,1,4,21,32.996525,9.690001,0.9756,0.2649
VTZY920,0.0,1,4,22,35.000423,5.9449997,0.9756,0.0
VTZY920,0.0,1,4,23,35.479446,6.515,0.878,0.0
VTZY920,0.0,1,5,0,38.762047,3.725,0.0732,0.0
VTZY920,0.0,1,5,1,35.63179,2.2150002,0.0,0.0
VTZY920,0.0,1,5,2,39.484417,1.155,0.0,0.0
VTZY920,0.0,1,5,3,38.075058,0.45,0.0,0.0
VTZY920,0.0,1,5,4,34.5502,0.615,0.0,0.0
VTZY920,0.0,1,5,5,39.286003,0.91,0.0,0.0
VTZY920,0.0,1,5,6,36.484196,1.33,0.0,0.0
VTZY920,0.0,1,5,7,37.49188,1.99,0.0244,0.0
VTZY920,0.0,1,5,8,38.74574,4.61,0.0976,0.0
VTZY920,0.0,1,5,9,37.325302,5.875,0.7805,0.0
VTZY920,0.0,1,5,10,35.303333,7.91,0.9512,0.0
VTZY920,0.0,1,5,11,34.4775,8.535,1.0,0.0
VTZY920,0.0,1,5,12,31.42081,12.425,0.9512,0.5224
VTZY920,0.0,1,5,13,30.602772,10.365,0.9268,0.4835
VTZY920,0.0,1,5,14,28.186775,14.71,0.9756,0.8858
VTZY920,0.0,1,5,15,29.351883,14.375,1.0,0.7791
VTZY920,0.0,1,5,16,32.264412,12.535,1.0,0.4626
VTZY920,0.0,1,5,17,32.862778,8.82,0.9756,0.2321
VTZY920,0.0,1,5,18,29.071709,9.940001,0.9756,0.5809
VTZY920,0.0,1,5,19,33.274357,5.535,1.0,0.0374
VTZY920,0.0,1,5,20,33.457417,8.809999,0.9756,0.0
